id,name,oscar,highest,lowest,birth,place,movie1_title,movie1_tomato,movie1_audience,movie1_release,movie1_director,movie2_title,movie2_tomato,movie2_audience,movie2_release,movie2_director,movie3_title,movie3_tomato,movie3_audience,movie3_release,movie3_director,movie4_title,movie4_tomato,movie4_audience,movie4_release,movie4_director,movie5_title,movie5_tomato,movie5_audience,movie5_release,movie5_director,movie6_title,movie6_tomato,movie6_audience,movie6_release,movie6_director,movie7_title,movie7_tomato,movie7_audience,movie7_release,movie7_director,movie8_title,movie8_tomato,movie8_audience,movie8_release,movie8_director,movie9_title,movie9_tomato,movie9_audience,movie9_release,movie9_director,movie10_title,movie10_tomato,movie10_audience,movie10_release,movie10_director
129,Hilary Swank, Won 2 Oscars., Insomnia (2002), The Next Karate Kid (1994)," Jul 30, 1974"," Lincoln, Nebraska, USA", 11:14,92,76,2003, Greg Marcks, Insomnia,92,77,2002, Christopher Nolan, Logan Lucky,92,76,2017, Steven Soderbergh, I Am Mother,91,75,2019, Grant Sputore, Million Dollar Baby,90,90,2004, Clint Eastwood, Boys Don't Cry,89,87,1999, Kimberly Peirce, What They Had,86,82,2018, Elizabeth Chomko, The Homesman,80,52,2014, Tommy Lee Jones, Freedom Writers,70,87,2007, Richard LaGravenese, Conviction,68,70,2010, Tony Goldwyn
130,Claudette Colbert, Won 1 Oscar., Three Came Home (1950), Bluebeard's Eighth Wife (1938)," Sep 13, 1903"," Saint-Mandé, Val-de-Marne, France", Three Came Home,100,72,1950, Jean Negulesco, It Happened One Night,99,93,1934, Frank Capra, The Palm Beach Story,97,81,1942, Preston Sturges, Midnight,93,88,1939, Mitchell Leisen, The Smiling Lieutenant,88,68,1931, Ernst Lubitsch, Imitation of Life,87,85,1934, John M. Stahl, Since You Went Away,83,80,1944, John Cromwell, Cleopatra,82,66,1934, Cecil B. DeMille, Drums Along the Mohawk,82,60,1939, John Ford, Thunder on the Hill,80,70,1951, Douglas Sirk
131,Diane Lane, Nominated for 1 Oscar., Inside Out (2015), National Lampoon's Movie Madness (1981)," Jan 22, 1965"," New York, New York, USA", Inside Out,98,89,2015, Pete Docter, Let Him Go,83,76,2020, Thomas Bezucha, The Cotton Club,76,55,1984, Francis Ford Coppola, Rumble Fish,74,80,1983, Francis Ford Coppola, Trumbo,74,79,2015, Jay Roach, My Dog Skip,73,68,2000, Jay Russell, A Walk on the Moon,72,71,1999, Tony Goldwyn, A Little Romance,71,85,1979, George Roy Hill, Zack Snyder's Justice League,71,95,2021, Zack Snyder, Hollywoodland,68,48,2006, Allen Coulter
132,Jessica Lange, Won 2 Oscars., Normal (2003), Wild Oats (2016)," Apr 20, 1949"," Cloquet, Minnesota, USA", Country,100,69,1984, Richard Pearce, Normal,100,76,2003, Jane Anderson, Sweet Dreams,90,81,1985, Karel Reisz, Tootsie,90,81,1982, Sydney Pollack, Grey Gardens,88,78,2009, Michael Sucsy, Broken Flowers,87,70,2005, Jim Jarmusch, All That Jazz,86,86,1979, Bob Fosse, Crimes of the Heart,81,65,1986, Bruce Beresford, Men Don't Leave,81,62,1990, Paul Brickman, Blue Sky,79,58,1994, Tony Richardson
133,Gloria Swanson, Nominated for 3 Oscars., Queen Kelly (1929), Airport 1975 (1974)," Mar 27, 1899"," Chicago, Illinois, USA", Queen Kelly,100,79,1929, Erich von Stroheim, Sunset Blvd.,99,95,1950, Billy Wilder, Beyond the Rocks,86,63,1922, Sam Wood, Sadie Thompson,83,72,1928, Raoul Walsh, Madame Sans-Gêne,50,Not Available,1925, Léonce Perret, Airport 1975,25,37,1974, Jack Smight, Don't Change Your Husband,Not Available,61,1919, Cecil B. DeMille, Father Takes a Wife,Not Available,Not Available,1941, Jack B. Hively, Fine Manners,Not Available,Not Available,1926, Richard Rosson, Indiscreet,Not Available,25,1931, Leo McCarey
134,Lauren Bacall, Nominated for 1 Oscar., Harper (1966), All I Want for Christmas (1991)," Sep 16, 1924"," New York, New York, USA", Harper,100,74,1966, Jack Smight, Cameraman: The Life & Work of Jack Cardiff,97,91,2010, Craig McCall, Key Largo,97,88,1948, John Huston, The Big Sleep,97,91,1946, Howard Hawks, To Have and Have Not,97,90,1944, Howard Hawks, Dark Passage,93,82,1947, Delmer Daves, Misery,90,90,1990, Rob Reiner, Murder on the Orient Express,90,79,1974, Sidney Lumet, The Shootist,86,88,1976, Don Siegel, How to Marry a Millionaire,84,78,1953, Jean Negulesco
135,Frances McDormand, Won 2 Oscars., Short Cuts (1993), Aeon Flux (2005)," Jun 23, 1957"," Gibson City, Illinois, USA", Short Cuts,95,88,1993, Robert Altman, Blood Simple,94,88,1984, Joel Coen, Fargo,94,93,1996, Joel Coen, Lone Star,94,83,1996, John Sayles, Nomadland,94,82,2020, Chloé Zhao, Moonrise Kingdom,93,86,2012, Wes Anderson, Raising Arizona,91,85,1987, Joel Coen, Isle of Dogs,90,87,2018, Wes Anderson," Three Billboards Outside Ebbing, Missouri",90,87,2017, Martin McDonagh, Almost Famous,89,92,2000, Cameron Crowe
136,Norma Shearer, Won 1 Oscar., The Women (1939), Idiot's Delight (1939)," Aug 10, 1902"," Montréal, Québec, Canada", The Women,92,88,1939, George Cukor, Private Lives,80,60,1931, Sidney Franklin, Romeo and Juliet,78,57,1936, George Cukor, The Barretts of Wimpole Street,78,69,1934, Sidney Franklin, The Divorcee,75,63,1930, Robert Z. Leonard, The Hollywood Revue,43,22,1929, Charles Riesner, Idiot's Delight,40,46,1939, Clarence Brown, A Free Soul,Not Available,57,1931, Clarence Brown, A Lady of Chance,Not Available,Not Available,1928, Robert Z. Leonard, After Midnight,Not Available,Not Available,1927, Monta Bell
137,Bette Midler, Nominated for 2 Oscars., Ruthless People (1986), Cats & Dogs: The Revenge of Kitty Galore (2010)," Dec 01, 1945"," Honolulu, Hawaii, USA", Ruthless People,94,72,1986, Jim Abrahams, Get Shorty,88,70,1995, Barry Sonnenfeld, Fantasia 2000,81,75,1999, James Algar, Down and Out in Beverly Hills,79,52,1986, Paul Mazursky, The Rose,78,81,1979, Mark Rydell, Get Bruce!,71,44,1999, Andrew J. Kuehn, Gypsy,57,76,1993, Emile Ardolino, Coastal Elites,55,60,2020, Jay Roach, Freak Show,53,68,2017, Trudie Styler, Oliver & Company,50,62,1988, George Scribner
138,Mary Tyler Moore, Nominated for 1 Oscar., Inequality for All (2013), Change of Habit (1969)," Dec 29, 1936"," Brooklyn, New York, USA", Inequality for All,90,88,2013, Jacob Kornbluth, Thoroughly Modern Millie,90,81,1967, George Roy Hill, Ordinary People,89,88,1980, Robert Redford, Flirting With Disaster,87,69,1996, David O. Russell, Just Between Friends,33,53,1986, Allan Burns, Change of Habit,10,65,1969, William A. Graham, Keys to Tulsa,10,23,1997, Leslie Greif, Against the Current,Not Available,51,2009, Peter Callahan, Cheats,Not Available,76,2002, Andrew Gurland, Finnegan Begin Again,Not Available,Not Available,1985, Joan Micklin Silver
139,Anna Magnani, Won 1 Oscar., The Golden Coach (1953), The Fugitive Kind (1960)," Mar 07, 1908"," Rome, Italy", Open City,100,92,1945, Roberto Rossellini, The Golden Coach,100,77,1953, Jean Renoir, The Passionate Thief,100,79,1960, Mario Monicelli, Mamma Roma,94,90,1962, Pier Paolo Pasolini, Bellissima,80,91,1951, Luchino Visconti, The Secret of Santa Vittoria,67,82,1969, Stanley Kramer, The Rose Tattoo,63,74,1955, Daniel Mann, The Fugitive Kind,53,64,1960, Sidney Lumet, ...and the Wild Wild Women,Not Available,67,1962, Renato Castellani,1870,Not Available,Not Available,1972, Alfredo Giannetti
140,Judi Dench, Won 1 Oscar., A Room With a View (1986), Doogal (2006)," Dec 09, 1934"," York, North Yorkshire, England, UK", A Room With a View,100,85,1986, James Ivory, Everything or Nothing: The Untold Story of 007,100,87,2012, Stevan Riley, Henry V,100,89,1989, Kenneth Branagh, Nothing Like a Dame,98,77,2018, Roger Michell, Hamlet,95,90,1996, Kenneth Branagh, Casino Royale,94,89,2006, Martin Campbell," Her Majesty, Mrs. Brown",92,79,1997, John Madden, Shakespeare in Love,92,80,1998, John Madden, Skyfall,92,86,2012, Sam Mendes, Into the Arms of Strangers: Stories of the Kindertransport,91,87,2000, Mark Jonathan Harris
141,Sharon Stone, Nominated for 1 Oscar., Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese (2019), Police Academy 4: Citizens on Patrol (1987)," Mar 10, 1958"," Meadville, Pennsylvania, USA", Antz,92,52,1998, Eric Darnell, Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,92,Not Available,2019, Martin Scorsese, The Disaster Artist,91,85,2017, James Franco, Broken Flowers,87,70,2005, Jim Jarmusch, Harry Benson: Shoot First,85,46,2016, Justin Bare, Dior and I,84,76,2014, Frédéric Tcheng, Total Recall,82,78,1990, Paul Verhoeven, Casino,80,93,1995, Martin Scorsese, The Mighty,75,79,1998, Peter Chelsom, Beautiful Joe,60,38,2000, Stephen Metcalfe
142,Kim Basinger, Won 1 Oscar., L.A. Confidential (1997), Bless the Child (2000)," Dec 08, 1953"," Athens, Georgia, USA", L.A. Confidential,99,94,1997, Curtis Hanson, The Nice Guys,91,79,2016, Shane Black, The Natural,82,88,1984, Barry Levinson, 8 Mile,75,54,2002, Curtis Hanson, Fool for Love,75,46,1985, Robert Altman, Batman,71,84,1989, Tim Burton, Never Say Never Again,69,37,1983, Irvin Kershner, The Door in the Floor,67,64,2004, Tod Williams, Nine 1/2 Weeks,61,56,1986, Adrian Lyne, Wayne's World 2,60,63,1993, Stephen Surjik
143,Glenda Jackson, Won 2 Oscars., Marat/Sade (1967), The Incredible Sarah (1976)," May 09, 1936"," Birkenhead, England, UK", Marat/Sade,93,79,1967, Peter Brook, Elizabeth is Missing,92,79,2019, Aisling Walsh," Sunday, Bloody Sunday",86,71,1971, John Schlesinger, A Touch of Class,83,65,1973, Melvin Frank, The Boy Friend,83,69,1971, Ken Russell, Women in Love,83,75,1969, Ken Russell, Turtle Diary,82,76,1985, John Irvin," Mary, Queen of Scots",80,56,1971, Charles Jarrott, Hopscotch,73,77,1980, Ronald Neame, The Rainbow,71,58,1989, Ken Russell
144,Donna Reed, Won 1 Oscar., Scandal Sheet (1952), The Human Comedy (1943)," Jan 27, 1921"," Denison, Iowa, USA", Scandal Sheet,100,85,1952, Phil Karlson, It's a Wonderful Life,94,95,1946, Frank Capra, The Picture of Dorian Gray,93,77,1945, Albert Lewin, From Here to Eternity,92,84,1953, Fred Zinnemann, They Were Expendable,91,73,1945, John Ford, The Last Time I Saw Paris,88,50,1954, Richard Brooks, Shadow of the Thin Man,83,79,1941, W. S. Van Dyke II, The Caddy,83,79,1953, Norman Taurog, The Human Comedy,80,69,1943, Clarence Brown, Apache Trail,Not Available,Not Available,1942, Richard Thorpe
145,Demi Moore, Nominated for 2 Golden Globes., If These Walls Could Talk (1996), Wild Oats (2016)," Nov 11, 1962"," Roswell, New Mexico, USA", If These Walls Could Talk,88,74,1996, Nancy Savoca, Margin Call,87,74,2011, J.C. Chandor, A Few Good Men,83,89,1992, Rob Reiner, Ghost,74,80,1990, Jerry Zucker, Deconstructing Harry,73,82,1997, Woody Allen, Beavis and Butt-head Do America,72,69,1996, Mike Judge, Austin Powers: International Man of Mystery,71,77,1997, Jay Roach, The Hunchback of Notre Dame,71,70,1996, Gary Trousdale, The Joneses,63,47,2009, Derrick Borte, About Last Night ...,61,59,1986, Edward Zwick
146,Anne Hathaway, Won 1 Oscar., Dark Waters (2019), The Last Thing He Wanted (2020)," Nov 12, 1982"," Brooklyn, New York, USA", Dark Waters,89,95,2019, Todd Haynes, Brokeback Mountain,87,82,2005, Ang Lee, The Dark Knight Rises,87,90,2012, Christopher Nolan, Rachel Getting Married,84,62,2008, Jonathan Demme, Colossal,81,59,2016, Nacho Vigalondo, Girl Rising,80,82,2013, Richard Robbins, Nicholas Nickleby,78,76,2002, Douglas McGrath, The Devil Wears Prada,75,76,2006, David Frankel, Interstellar,72,86,2014, Christopher Nolan, Rio,72,71,2011, Carlos Saldanha
147,Liza Minnelli, Won 1 Oscar., That's Entertainment! (1974), Lucky Lady (1975)," Mar 12, 1946"," Los Angeles, California, USA", That's Entertainment!,100,85,1974, Jack Haley Jr., Cabaret,93,87,1972, Bob Fosse, Arthur,88,77,1981, Steve Gordon, The Sterile Cuckoo,88,64,1969, Alan J. Pakula, Silent Movie,80,72,1976, Mel Brooks, Halston,77,88,2019, Frédéric Tcheng, Dzi Croquettes,71,77,2009, Tatiana Issa, A Matter of Time,63,32,1976, Vincente Minnelli," New York, New York",63,58,1977, Martin Scorsese, The Oh in Ohio,23,35,2006, Bill Kent
148,Geena Davis, Won 1 Oscar., In a World ... (2013), Speechless (1994)," Jan 21, 1956"," Wareham, Massachusetts, USA", In a World ...,92,71,2013, Lake Bell, The Fly,92,83,1986, David Cronenberg, When Marnie Was There,91,88,2014, Hiromasa Yonebayashi, Marjorie Prime,90,62,2017, Michael Almereyda, Tootsie,90,81,1982, Sydney Pollack, This Changes Everything,88,100,2018, Tom Donahue, Beetlejuice,85,82,1988, Tim Burton, Thelma & Louise,85,82,1991, Ridley Scott, Quick Change,82,71,1990, Howard Franklin, Stuart Little 2,81,41,2002, Rob Minkoff
149,Peter Sellers, Nominated for 3 Oscars., The Ladykillers (1955)," I Love You, Alice B. Toklas (1968)"," Sep 08, 1925"," Southsea, Hampshire, England, UK", The Ladykillers,100,87,1955, Alexander Mackendrick, Tom Thumb,100,63,1958, George Pal, Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,98,94,1964, Stanley Kubrick, Being There,95,92,1979, Hal Ashby, A Shot in the Dark,94,87,1964, Blake Edwards, Lolita,91,84,1962, Stanley Kubrick, The World of Henry Orient,91,57,1964, George Roy Hill, The Mouse That Roared,90,73,1959, Jack Arnold," I'm All Right, Jack",88,76,1960, John Boulting, The Pink Panther,88,78,1963, Blake Edwards
150,Woody Allen, Won 4 Oscars., Broadway Danny Rose (1984), Company Man (2000)," Dec 01, 1935"," Brooklyn, New York, USA", Broadway Danny Rose,100,84,1984, Woody Allen, Love and Death,100,90,1975, Woody Allen, Sleeper,100,81,1973, Woody Allen, Zelig,100,88,1983, Woody Allen, Bullets Over Broadway,97,83,1994, Woody Allen," Play It Again, Sam",97,89,1972, Herbert Ross, Annie Hall,96,92,1977, Woody Allen, Crimes and Misdemeanors,94,91,1989, Woody Allen, Manhattan,94,92,1979, Woody Allen, Husbands and Wives,93,87,1992, Woody Allen
151,Mel Gibson, Won 2 Oscars., Chicken Run (2000), Air Strike (2018)," Jan 03, 1956"," Peekskill, New York, USA", Chicken Run,97,65,2000, Peter Lord, Mad Max 2,93,86,1981, George Miller, Gallipoli,91,83,1981, Peter Weir, Mad Max,90,70,1979, George Miller, Blood Father,89,63,2016, Jean-François Richet, Who Killed the Electric Car?,89,84,2006, Chris Paine, The Year of Living Dangerously,88,77,1982, Peter Weir, Hacksaw Ridge,84,91,2016, Mel Gibson, Get the Gringo,82,68,2012, Adrian Grunberg, Lethal Weapon 2,82,77,1989, Richard Donner
152,Jim Carrey, Won 2 Golden Globes., The Truman Show (1998), True Crimes (2016)," Jan 17, 1962"," Newmarket, Ontario, Canada", The Truman Show,95,89,1998, Peter Weir, Under the Sea,94,75,2009, Howard Hall, Eternal Sunshine of the Spotless Mind,92,94,2004, Michel Gondry," Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",92,88,2017, Chris Smith, Peggy Sue Got Married,86,55,1986, Francis Ford Coppola, Stephen Hawking Biography,85,72,2013, Stephen Finnigan, Liar Liar,82,75,1997, Tom Shadyac, The Love We Make,82,58,2011, Bradley Kaplan, Dr. Seuss' Horton Hears a Who!,80,73,2008, Jimmy Hayward, The Mask,77,68,1994, Charles Russell
153,Mark Wahlberg, Nominated for 2 Oscars., Three Kings (1999), Renaissance Man (1994)," Jun 05, 1971"," Dorchester, Massachusetts, USA", Three Kings,94,77,1999, David O. Russell, Boogie Nights,93,89,1997, Paul Thomas Anderson, The Departed,90,94,2006, Martin Scorsese, The Fighter,90,89,2010, David O. Russell, Deepwater Horizon,83,82,2016, Peter Berg, Instant Family,81,82,2018, Sean Anders, Patriots Day,81,86,2016, Peter Berg, Prisoners,81,87,2013, Denis Villeneuve, All the Money in the World,79,65,2017, Ridley Scott, Traveller,79,53,1997, Jack N. Green
154,Steve Martin, Nominated for 5 Golden Globes., And the Band Played On (1993), Cheaper by the Dozen 2 (2005)," Aug 14, 1945"," Waco, Texas, USA", And the Band Played On,100,88,1993, Roger Spottiswoode, The Kids Are Alright,100,88,1979, Jeff Stein, L.A. Story,94,75,1991, Mick Jackson," Planes, Trains and Automobiles",92,87,1987, John Hughes, Parenthood,91,76,1989, Ron Howard, Little Shop of Horrors,90,79,1986, Frank Oz, The Spanish Prisoner,89,80,1998, David Mamet, Dirty Rotten Scoundrels,88,84,1988, Frank Oz, Roxanne,88,63,1987, Fred Schepisi, The Muppet Movie,88,88,1979, James Frawley
155,Javier Bardem, Won 1 Oscar., No Country for Old Men (2007), The Last Face (2016)," Mar 01, 1969"," Las Palmas, Spain", No Country for Old Men,93,86,2007, Joel Coen, Skyfall,92,86,2012, Sam Mendes, Collateral,86,84,2004, Michael Mann, The Sea Inside,84,92,2004, Alejandro Amenábar, Live Flesh,81,87,1997, Pedro Almodóvar, Vicky Cristina Barcelona,81,74,2008, Woody Allen, Mondays in the Sun,80,87,2002, Fernando León de Aranoa, Everybody Knows,78,60,2018, Asghar Farhadi, Before Night Falls,73,84,2000, Julian Schnabel, mother!,68,51,2017, Darren Aronofsky
156,Christoph Waltz, Won 2 Oscars., QT8: The First Eight (2019), Tulip Fever (2017)," Oct 04, 1956"," Vienna, Austria", QT8: The First Eight,91,92,2019, Tara Wood, Inglourious Basterds,89,88,2009, Quentin Tarantino, Django Unchained,87,91,2012, Quentin Tarantino, Muppets Most Wanted,80,58,2014, James Bobin, Big Eyes,72,68,2014, Tim Burton, Carnage,70,66,2011, Roman Polanski, Epic,65,65,2013, Chris Wedge, Spectre,63,61,2015, Sam Mendes, Alita: Battle Angel,61,92,2019, Robert Rodriguez, Gun-Shy,60,72,2003, Dito Tsintsadze
157,Tim Robbins, Won 1 Oscar., The Player (1992), Howard the Duck (1986)," Oct 16, 1958"," West Covina, California, USA", The Player,98,84,1992, Robert Altman, Bull Durham,97,82,1988, Ron Shelton, Bob Roberts,95,78,1992, Tim Robbins, Dead Man Walking,95,86,1995, Tim Robbins, Short Cuts,95,88,1993, Robert Altman, High Fidelity,91,90,2000, Stephen Frears, The Shawshank Redemption,91,98,1994, Frank Darabont, Marjorie Prime,90,62,2017, Michael Almereyda, Dark Waters,89,95,2019, Todd Haynes, Mystic River,88,89,2003, Clint Eastwood
158,Arnold Schwarzenegger, Won 1 Golden Globe., The Terminator (1984), The Villain (1979)," Jul 30, 1947"," Thal, Styria, Austria", The Terminator,100,89,1984, James Cameron, Terminator 2: Judgment Day,93,94,1991, James Cameron, Pumping Iron,91,84,1977, George Butler, Total Recall,82,78,1990, Paul Verhoeven, Predator,81,87,1987, John McTiernan, Wonders of the Sea,78,100,2017, Jean-Michel Cousteau, Darfur Now,73,73,2007, Ted Braun, Commando,71,67,1985, Mark L. Lester, True Lies,71,76,1994, James Cameron, Terminator: Dark Fate,70,82,2019, Tim Miller
159,Sylvester Stallone, Nominated for 3 Oscars., Creed (2015), Staying Alive (1983)," Jul 06, 1946"," New York, New York, USA", Creed,95,89,2015, Ryan Coogler, Antz,92,52,1998, Eric Darnell, Rocky,92,69,1976, John G. Avildsen, First Blood,85,85,1982, Ted Kotcheff, Guardians of the Galaxy Vol. 2,85,87,2017, James Gunn, Creed II,83,79,2018, Steven Caple Jr., Death Race 2000,81,64,1975, Paul Bartel, Rocky Balboa,77,76,2006, Sylvester Stallone," Farewell, My Lovely",76,73,1975, Dick Richards, Cop Land,75,67,1997, James Mangold
160,Viggo Mortensen, Nominated for 3 Oscars., The Lord of the Rings: The Two Towers (2002), Alatriste (2006)," Oct 20, 1958"," New York, New York, USA", The Lord of the Rings: The Two Towers,95,95,2002, Peter Jackson, The Lord of the Rings: The Return of the King,93,86,2003, Peter Jackson, Witness,93,80,1985, Peter Weir, The Lord of the Rings: The Fellowship of the Ring,91,95,2001, Peter Jackson, Eastern Promises,89,83,2007, David Cronenberg, Crimson Tide,88,83,1995, Tony Scott, Jauja,88,50,2014, Lisandro Alonso, The Reflecting Skin,88,77,1990, Philip Ridley, A History of Violence,87,76,2005, David Cronenberg, Far From Men,84,73,2014, David Oelhoffen
161,Christopher Lee, No Significant Award Wins or Nominations., Dr. Terror's House of Horrors (1965), Police Academy: Mission to Moscow (1994)," May 27, 1922"," Belgravia, London, England, UK", Dr. Terror's House of Horrors,100,62,1965, Freddie Francis, The Crimson Pirate,100,84,1952, Robert Siodmak, The Devil Rides Out,95,75,1968, Terence Fisher, The Lord of the Rings: The Two Towers,95,95,2002, Peter Jackson, The Hound of the Baskervilles,94,73,1959, Terence Fisher, Hugo,93,78,2011, Martin Scorsese, The Lord of the Rings: The Return of the King,93,86,2003, Peter Jackson, The House That Dripped Blood,92,57,1971, Peter Duffell, The Private Life of Sherlock Holmes,92,73,1970, Billy Wilder, Death Line,91,44,1972, Gary Sherman
162,Geoffrey Rush, Won 1 Oscar., Finding Nemo (2003), Gods of Egypt (2016)," Jul 06, 1951"," Toowoomba, Queensland, Australia", Finding Nemo,99,86,2003, Andrew Stanton, The King's Speech,94,92,2010, Tom Hooper, Shakespeare in Love,92,80,1998, John Madden, Shine,91,90,1996, Scott Hicks, Lantana,90,82,2001, Ray Lawrence, Elizabeth,82,86,1998, Shekhar Kapur, Holding the Man,81,81,2015, Neil Armfield, Children of the Revolution,80,71,1996, Peter Duncan, Pirates of the Caribbean: The Curse of the Black Pearl,79,86,2003, Gore Verbinski, Munich,78,83,2005, Steven Spielberg
163,Alec Guinness, Won 1 Oscar., The Ladykillers (1955), The Comedians (1967)," Apr 02, 1914"," London, England, UK", Damn the Defiant!,100,62,1962, Lewis Gilbert, Great Expectations,100,88,1946, David Lean, Kind Hearts and Coronets,100,94,1949, Robert Hamer, Last Holiday,100,79,1950, Henry Cass, Oliver Twist,100,84,1948, David Lean, The Fall of the Roman Empire,100,68,1964, Anthony Mann, The Ladykillers,100,87,1955, Alexander Mackendrick, The Lavender Hill Mob,100,86,1951, Charles Crichton, The Man in the White Suit,100,81,1951, Alexander Mackendrick, Lawrence of Arabia,95,93,1962, David Lean
164,Richard Burton, Nominated for 7 Oscars., Who's Afraid of Virginia Woolf? (1966), The V.I.P.s (1963)," Nov 10, 1925"," Pontrhydyfen, Wales, UK", Who's Afraid of Virginia Woolf?,95,91,1966, Mike Nichols, Look Back in Anger,92,76,1958, Tony Richardson, Where Eagles Dare,91,89,1969, Brian G. Hutton, The Longest Day,87,90,1962, Ken Annakin, The Spy Who Came in From the Cold,87,81,1966, Martin Ritt, The Desert Rats,83,70,1953, Robert Wise, The Taming of the Shrew,83,74,1967, Franco Zeffirelli, Becket,76,87,1964, Peter Glenville, Bitter Victory,76,68,1958, Nicholas Ray,1984,74,71,1984, Michael Radford
165,Alec Baldwin, Nominated for 1 Oscar., Path to War (2002), Drunk Parents (2019)," Apr 03, 1958"," Massapequa, New York, USA", Path to War,100,73,2002, John Frankenheimer, Elaine Stritch: Shoot Me,99,79,2013, Chiemi Karasawa, Mission: Impossible -- Fallout,97,88,2018, Christopher McQuarrie, BlacKkKlansman,96,83,2018, Spike Lee, Glengarry Glen Ross,95,88,1992, James Foley, Mission: Impossible Rogue Nation,94,87,2015, Christopher McQuarrie, A Star Is Born,90,79,2018, Bradley Cooper, Blue Jasmine,90,77,2013, Woody Allen, Framing John DeLorean,90,68,2019, Don Argott, The Departed,90,94,2006, Martin Scorsese
166,James Caan, Nominated for 1 Oscar., El Dorado (1967), T.R. Baskin (1971)," Mar 26, 1940"," Bronx, New York, USA", El Dorado,100,87,1967, Howard Hawks, The Tale of the Princess Kaguya,100,90,2013, Isao Takahata, The Godfather,97,98,1972, Francis Ford Coppola, Thief,94,81,1981, Michael Mann, Brian's Song,92,82,1971, Buzz Kulik, Misery,90,90,1990, Rob Reiner, Cloudy With a Chance of Meatballs,86,72,2009, Christopher Miller, Slither,86,55,1973, Howard Zieff, Bottle Rocket,85,80,1996, Wes Anderson, Elf,85,79,2003, Jon Favreau
167,Chiwetel Ejiofor, Nominated for 1 Oscar., 12 Years a Slave (2013), Slow Burn (2005)," Jul 10, 1977"," London, England, UK", 12 Years a Slave,95,90,2013, Steve McQueen, Dirty Pretty Things,94,82,2002, Stephen Frears, Children of Men,92,85,2006, Alfonso Cuarón, The Elephant Queen,91,91,2018, Mark Deeble, The Martian,91,91,2015, Ridley Scott, Doctor Strange,89,85,2016, Scott Derrickson, Inside Man,86,85,2006, Spike Lee, The Boy Who Harnessed the Wind,86,87,2019, Chiwetel Ejiofor, Talk to Me,83,77,2007, Kasi Lemmons, Serenity,82,91,2005, Joss Whedon
168,Mads Mikkelsen, Nominated for 1 BAFTA Film Award., With Blood on My Hands: Pusher II (2004), Polar (2019)," Nov 22, 1965"," Østerbro, København, Denmark", With Blood on My Hands: Pusher II,100,85,2004, Nicolas Winding Refn, Casino Royale,94,89,2006, Martin Campbell, Open Hearts,93,90,2002, Susanne Bier, The Hunt,93,93,2012, Thomas Vinterberg, Another Round,92,90,2020, Thomas Vinterberg, A Royal Affair,90,82,2012, Nikolaj Arcel, Arctic,90,79,2018, Joe Penna, Doctor Strange,89,85,2016, Scott Derrickson, After the Wedding,88,87,2006, Susanne Bier, Riders of Justice,88,Not Available,2020, Anders Thomas Jensen
169,Ben Stiller, Won 1 Primetime Emmy., The Meyerowitz Stories (New and Selected) (2017), Fresh Horses (1988)," Nov 30, 1965"," New York, New York, USA", The Meyerowitz Stories (New and Selected),92,72,2017, Noah Baumbach, The Boys: The Sherman Brothers' Story,90,87,2009, Gregory V. Sherman, Flirting With Disaster,87,69,1996, David O. Russell, Meet the Parents,84,79,2000, Jay Roach, While We're Young,84,51,2014, Noah Baumbach, There's Something About Mary,83,61,1998, Bobby Farrelly, Tropic Thunder,82,70,2008, Ben Stiller, Alex Strangelove,80,69,2018, Craig Johnson, The Royal Tenenbaums,80,89,2001, Wes Anderson, Brad's Status,79,55,2017, Mike White
170,Willem Dafoe, Nominated for 4 Oscars., Do Donkeys Act? (2017), Lulu on the Bridge (1998)," Jul 22, 1955"," Appleton, Wisconsin, USA", Do Donkeys Act?,100,Not Available,2017, David Redmon, Finding Nemo,99,86,2003, Andrew Stanton," Love, Antosha",97,94,2019, Garret Price, The Florida Project,96,80,2017, Sean Baker, Fantastic Mr. Fox,93,85,2009, Wes Anderson, Spider-Man 2,93,82,2004, Sam Raimi, The Grand Budapest Hotel,92,86,2014, Wes Anderson, Togo,92,95,2019, Ericson Core, To Live and Die in L.A.,91,79,1985, William Friedkin, Spider-Man,90,67,2002, Sam Raimi
171,Ed Harris, Nominated for 4 Oscars., The Right Stuff (1983), Eye for an Eye (1996)," Nov 28, 1950"," Tenafly, New Jersey, USA", Unforgivable Blackness: The Rise and Fall of Jack Johnson,100,94,2004, Kevin Burns, Apollo 13,96,87,1995, Ron Howard, The Right Stuff,96,90,1983, Philip Kaufman, Glengarry Glen Ross,95,88,1992, James Foley, Gravity,95,80,2013, Alfonso Cuarón, The Truman Show,95,89,1998, Peter Weir, Gone Baby Gone,94,86,2007, Ben Affleck, Snowpiercer,94,72,2013, Bong Joon-ho, Sweet Dreams,90,81,1985, Karel Reisz, Under Fire,90,69,1983, Roger Spottiswoode
